2025-06-28 07:13:53 : Battery: 90%, Charging: True
2025-06-28 07:14:23 : Battery: 90%, Charging: True
2025-06-28 07:14:53 : Battery: 90%, Charging: True
2025-06-28 07:15:23 : Battery: 90%, Charging: True
2025-06-28 07:15:53 : Battery: 90%, Charging: True
2025-06-28 07:16:23 : Battery: 90%, Charging: True
2025-06-28 07:16:53 : Battery: 91%, Charging: True
2025-06-28 07:17:23 : Battery: 91%, Charging: True
2025-06-28 07:17:53 : Battery: 91%, Charging: True
2025-06-28 07:18:23 : Battery: 91%, Charging: True
2025-06-28 07:18:53 : Battery: 91%, Charging: True
2025-06-28 07:19:23 : Battery: 91%, Charging: True
2025-06-28 07:19:53 : Battery: 92%, Charging: True
2025-06-28 07:20:23 : Battery: 92%, Charging: True
2025-06-28 07:20:53 : Battery: 92%, Charging: True
2025-06-28 07:21:23 : Battery: 92%, Charging: True
2025-06-28 07:21:53 : Battery: 92%, Charging: True
2025-06-28 07:22:23 : Battery: 92%, Charging: True
2025-06-28 07:22:53 : Battery: 93%, Charging: True
2025-06-28 07:23:23 : Battery: 93%, Charging: True
2025-06-28 07:23:53 : Battery: 93%, Charging: True
2025-06-28 07:24:23 : Battery: 93%, Charging: True
2025-06-28 07:24:53 : Battery: 93%, Charging: True
2025-06-28 07:25:23 : Battery: 93%, Charging: True
2025-06-28 07:25:53 : Battery: 93%, Charging: True
2025-06-28 07:26:23 : Battery: 94%, Charging: True
2025-06-28 07:26:53 : Battery: 94%, Charging: True
2025-06-28 07:27:23 : Battery: 94%, Charging: True
2025-06-28 07:27:53 : Battery: 94%, Charging: True
2025-06-28 07:28:23 : Battery: 94%, Charging: True
2025-06-28 07:28:53 : Battery: 94%, Charging: True
2025-06-28 07:29:23 : Battery: 94%, Charging: True
2025-06-28 07:29:53 : Battery: 95%, Charging: True
2025-06-28 07:29:53 : ALERT: Battery at 95%. Please unplug your charger for battery health.
2025-06-28 07:31:55 : Battery monitor started
2025-06-28 07:31:56 : Battery: 94%, Charging: False
2025-06-28 07:32:26 : Battery: 94%, Charging: True
2025-06-28 07:32:56 : Battery: 94%, Charging: True
2025-06-28 07:33:26 : Battery: 94%, Charging: True
2025-06-28 07:33:56 : Battery: 94%, Charging: True
2025-06-28 07:34:26 : Battery: 94%, Charging: True
2025-06-28 07:34:56 : Battery: 95%, Charging: True
2025-06-28 07:34:56 : ALERT: Battery at 95%. Please unplug your charger for battery health.
2025-06-28 07:35:26 : Battery: 95%, Charging: True
2025-06-28 07:35:26 : ALERT: Battery at 95%. Please unplug your charger for battery health.
2025-06-28 07:35:56 : Battery: 95%, Charging: True
2025-06-28 07:35:56 : ALERT: Battery at 95%. Please unplug your charger for battery health.
2025-06-28 07:36:36 : Battery monitor started
2025-06-28 07:36:37 : Battery: 94%, Charging: False
2025-06-28 07:37:07 : Battery: 95%, Charging: True
2025-06-28 07:37:07 : ALERT: Battery at 95%. Please unplug your charger for battery health.
2025-06-28 07:37:37 : Battery: 95%, Charging: False
2025-06-28 07:38:07 : Battery: 94%, Charging: False
2025-06-28 07:38:37 : Battery: 94%, Charging: False
2025-06-28 07:39:07 : Battery: 93%, Charging: False
2025-06-28 07:39:37 : Battery: 93%, Charging: False
2025-06-28 07:40:07 : Battery: 92%, Charging: False
2025-06-28 07:40:21 : Battery monitor stopped by user
2025-06-28 07:40:27 : Battery monitor started
2025-06-28 07:40:27 : Battery: 92%, Charging: True
2025-06-28 07:40:57 : Battery: 92%, Charging: True
2025-06-28 07:41:27 : Battery: 92%, Charging: True
2025-06-28 07:41:57 : Battery: 93%, Charging: True
2025-06-28 07:42:27 : Battery: 93%, Charging: True
2025-06-28 07:42:57 : Battery: 93%, Charging: True
2025-06-28 07:43:27 : Battery: 93%, Charging: True
2025-06-28 07:43:57 : Battery: 93%, Charging: True
2025-06-28 07:44:27 : Battery: 94%, Charging: True
